CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Manganese,2.08,mg/L,2020-07-24,42SRBCWQ_WQX-BEAVR00.1-4078,Susquehanna River Basin Commission,Final
Manganese,0.00787,mg/L,2020-04-29,EVR-RG_KERRRD,EVR Operations Limited,Final
Manganese,0.0143,mg/L,2020-04-20,EVR-RG_GRASMERE,EVR Operations Limited,Final
Manganese,0.712,mg/L,2020-11-11,MONT_PPL_WQX-915A,Montana PPL Corporation,Final
Manganese,0.336,mg/L,2020-04-15,MONT_PPL_WQX-1070D,Montana PPL Corporation,Final
Manganese,0.011,mg/L,2020-10-14,21FLORAN_WQX-LES,Orange County Environmental (Florida),Final
Manganese,0.15,mg/L,2020-05-11,WASHNVCA_WQX-SR04,Washoe Tribe of Nevada and California,Final
Manganese,0.37,mg/L,2020-08-18,21SC60WQ_WQX-SV-354,South Carolina Department of Environmental Services,Final
Manganese,0.6,mg/L,2020-03-23,MONT_PPL_WQX-137A,Montana PPL Corporation,Final
Manganese,0.036,mg/L,2020-10-08,21NMEX_WQX-78GilaRi077.9,NM Environmental Dept./SWQB,Final
Manganese,1.93,mg/L,2020-05-21,MONT_PPL_WQX-576D,Montana PPL Corporation,Final
Manganese,0.076,mg/L,2020-10-22,21NDHDWQ_WQX-385001,North Dakota Department Of Environmental Quality,Final
Manganese,0.189,mg/L,2020-09-22,21NDHDWQ_WQX-551590,North Dakota Department Of Environmental Quality,Final
Manganese,0.3,mg/L,2020-11-17,ARDEQH2O_WQX-LARK024A,Arkansas Department of Environmental Quality,Final
Manganese,0.263,mg/L,2020-11-11,MONT_PPL_WQX-648D,Montana PPL Corporation,Final
Manganese,0.052,mg/L,2020-10-20,MONT_PPL_WQX-1103D,Montana PPL Corporation,Final
Manganese,1.55,mg/L,2020-12-07,MONT_PPL_WQX-115M,Montana PPL Corporation,Final
Manganese,0.103,mg/L,2020-03-10,ARDEQH2O_WQX-RED0086,Arkansas Department of Environmental Quality,Final
Manganese,0.211,mg/L,2020-09-22,ARDEQH2O_WQX-OUA0002,Arkansas Department of Environmental Quality,Final
Manganese,0.019,mg/L,2020-03-02,WVDEP_WQX-6626,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,0.066,mg/L,2020-10-21,OREGONDEQ-41033-ORDEQ,Department of Environmental Quality - State of Oregon,Final
Manganese,0.034,mg/L,2020-03-30,MONT_PPL_WQX-AB10-S,Montana PPL Corporation,Final
Manganese,0.0654,mg/L,2020-12-08,ARDEQH2O_WQX-OUA0229,Arkansas Department of Environmental Quality,Final
Manganese,0.0692,mg/L,2020-09-08,ARDEQH2O_WQX-OUA0243,Arkansas Department of Environmental Quality,Final
Manganese,0.0718,mg/L,2020-03-10,ARDEQH2O_WQX-UWBYB03,Arkansas Department of Environmental Quality,Final
Manganese,0.024,mg/L,2020-09-09,21SC60WQ_WQX-RS-20503,South Carolina Department of Environmental Services,Final
Manganese,0.283,mg/L,2020-06-19,21NDHDWQ_WQX-381100,North Dakota Department Of Environmental Quality,Final
